transaction_id,transaction_date,transaction_type,document_no,business_name,branch,sales_channel,customer_type,customer_id,supplier_name,product_category,product_name,quantity,unit_price_kes,discount_pct,gross_sales_kes,net_sales_kes,unit_cost_kes,cogs_kes,gross_profit_kes,expense_category,expense_amount_kes,cash_in_kes,cash_out_kes,amount_received_kes,accounts_receivable_change_kes,accounts_payable_change_kes,inventory_qty_change,inventory_value_change_kes,payment_method,salesperson_or_staff,manual_entry_flag
TXN-00087,2025-01-24,PURCHASE,GRN-2501-0087,Rongai Home & Agro Supplies,Kiserian,Supplier,,,Eastlands Hardware Wholesalers,Building Materials,Cement 50kg,4,635.62,0,0,0,635.62,2542.48,0,Purchase,0,2542.48,0.0,0,0,0,4,2542.48,,BM,0
TXN-01617,2026-03-20,EXPENSE,EXP-2603-1617,Rongai Home & Agro Supplies,Ongata Rongai,Back Office,,,,,,0,0,0,0,0,0,0,0,Repairs,14974,0,14974,0,0,0,0,0,Bank Transfer,CN,0
TXN-00792,2025-08-12,SALE,INV-2508-0792,Rongai Home & Agro Supplies,Ongata Rongai,Phone Order,Farmer,CUS-1089,,Electrical,LED Bulb 12W,1,265.01,0.02,265.01,259.71,156.68,156.68,103.03,,0,259.71,0,259.71,-0.0,0,-1,-156.68,,JK,0
TXN-00686,2025-07-14,SALE,INV-2507-0686,Rongai Home & Agro Supplies,Kiserian,M-Pesa Till,Reseller,CUS-1132,,Paints,Gloss Paint 4L,10,2560.12,0.0527,25601.2,24252.02,1813.53,18135.3,6116.72,,0,12126.01,0,12126.01,-12126.01,0,-10,-18135.3,,JK,0
TXN-00345,2025-04-07,PURCHASE,GRN-2504-0345,Rongai Home & Agro Supplies,Ongata Rongai,Supplier,,,Rift Valley Cement Depot,Plumbing,PVC Tee 20mm,42,48.04,0,0,0,48.04,2017.68,0,Purchase,0,706.19,1311.49,0,0,0,42,2017.68,,JK,0
TXN-01065,2025-10-23,SALE,INV-2510-1065,Rongai Home & Agro Supplies,Kiserian,WhatsApp,Retail,CUS-1120,,Electrical,Switch 1 Gang,1,263.05,0,263.05,263.05,143.95,143.95,119.1,,0,263.05,0,263.05,-0.0,0,-1,-143.95,,ER,0
TXN-01282,19/12/2025,SALE,INV-2512-1282,Rongai Home & Agro Supplies,Kiserian,WhatsApp,Farmer,CUS-1121,,Paints,Paint Brush 4in,1,188.83,0.03,188.83,183.17,99.12,99.12,84.05,,0,183.17,0,183.17,-0.0,0,-1,-99.12,,JK,0
TXN-00415,2025-04-24,CUSTOMER_PAYMENT,RCPT-2504-0415,Rongai Home & Agro Supplies,Kiserian,Collections,Contractor,CUS-1091,,,,0,0,0,0,0,0,0,0,Customer Collection,0,4994.0,0,4994.0,4994.0,0,0,0,Mpesa,JK,0
TXN-01684,2026-04-08,SALE,INV-2604-1684,Rongai Home & Agro Supplies,Ongata Rongai,Phone Order,Retail,CUS-1152,,Agro Inputs,DAP Fertilizer 50kg,2,5594.12,0.03,11188.24,10852.59,4856.36,9712.72,1139.87,,0,10852.59,0,10852.59,-0.0,0,-2,-9712.72,,ER,0
TXN-01058,2025-10-22,SALE,INV-2510-1058,Rongai Home & Agro Supplies,Kiserian,WhatsApp,Retail,CUS-1177,,Paints,Gloss Paint 4L,1,2615.17,0.05,2615.17,2484.41,1819.52,1819.52,664.89,,0,2484.41,0,2484.41,-0.0,0,-1,-1819.52,,DK,0
TXN-02268,2025-05-08,SUPPLIER_PAYMENT,SP-2505-2268,Rongai Home & Agro Supplies,Ongata Rongai,Supplier,,,AgroLink Kenya,,,0,0,0,0,0,0,0,0,Supplier Payment,0,0,52709.0,0,0,0,0,0,Bank Transfer,BM,0
TXN-01809,2026-05-12,SALE,INV-2605-1809,Rongai Home & Agro Supplies,Ongata Rongai,M-Pesa Till,Retail,CUS-1047,,Plumbing,20mm PVC Pipe 6m,6,879.65,0,5277.9,5277.9,680.92,4085.52,1192.38,,0,5277.9,0,5277.9,-0.0,0,-6,-4085.52,,JK,0
TXN-01061,2025-10-22,CUSTOMER_PAYMENT,RCPT-2510-1061,Rongai Home & Agro Supplies,Ongata Rongai,Collections,Contractor,CUS-1048,,,,0,0,0,0,0,0,0,0,Customer Collection,0,13063.0,0,13063.0,13063.0,0,0,0,Mpesa,DK,0
TXN-00353,2025-04-09,SALE,INV-2504-0353,Rongai Home & Agro Supplies,Kiserian,M-Pesa Till,Retail,CUS-1150,,Plumbing,PVC Tee 20mm,1,90.65,0,90.65,90.65,48.7,48.7,41.95,,0,90.65,0,90.65,-0.0,0,-1,-48.7,,BM,0
TXN-01772,2026-04-30,SALE,INV-2604-1772,Rongai Home & Agro Supplies,Ongata Rongai,Walk-in,Retail,CUS-1136,,Agro Inputs,DAP Fertilizer 50kg,1,5332.05,0.03,5332.05,5172.09,4691.48,4691.48,480.61,,0,5172.09,0,5172.09,-0.0,0,-1,-4691.48,,CN,0
