transaction_id,transaction_date,transaction_type,document_no,business_name,branch,sales_channel,customer_type,customer_id,supplier_name,product_category,product_name,quantity,unit_price_kes,discount_pct,gross_sales_kes,net_sales_kes,unit_cost_kes,cogs_kes,gross_profit_kes,expense_category,expense_amount_kes,cash_in_kes,cash_out_kes,amount_received_kes,accounts_receivable_change_kes,accounts_payable_change_kes,inventory_qty_change,inventory_value_change_kes,payment_method,salesperson_or_staff,manual_entry_flag
TXN-00001,31/12/2024,PURCHASE,GRN-2412-OPEN-CEMENT,Thika Road Hardware & Agrovet Ltd,,Supplier,,,Opening Stock Balance,Building Materials,Cement 50kg,400,640.0,0.0,0.0,0.0,640.0,256000.0,0.0,Opening Stock,0.0,0.0,256000.0,0.0,0.0,0.0,400,256000.0,,MN,0.0
TXN-00002,2024-12-31,PURCHASE,GRN-2412-OPEN-RIVER,Thika Road Hardware & Agrovet Ltd,Thika Town,Supplier,,,Opening Stock Balance,Building Materials,River Sand (ton),120,1200.0,0.0,0.0,0.0,1200.0,144000.0,0.0,Opening Stock,0.0,0.0,144000.0,0.0,0.0,0.0,120,144000.0,,SK,0.0
TXN-00003,2024-12-31,PURCHASE,GRN-2412-OPEN-HOLLOW,Thika Road Hardware & Agrovet Ltd,Juja,Supplier,,,Opening Stock Balance,Building Materials,Hollow Block 6in,900,55.0,0.0,0.0,0.0,55.0,49500.0,0.0,Opening Stock,0.0,0.0,49500.0,0.0,0.0,0.0,900,49500.0,,TK,0.0
TXN-00004,2024-12-31,PURCHASE,GRN-2412-OPEN-IRONS,Thika Road Hardware & Agrovet Ltd,Thika Town,Supplier,,,Opening Stock Balance,Building Materials,Iron Sheet 3m Gauge30,260,780.0,0.0,0.0,0.0,780.0,202800.0,0.0,Opening Stock,0.0,0.0,202800.0,0.0,0.0,0.0,260,202800.0,,JB,0.0
TXN-00005,2024-12-31,PURCHASE,GRN-2412-OPEN-GLOSS,Thika Road Hardware & Agrovet Ltd,Juja,Supplier,,,Opening Stock Balance,Paints,Gloss Paint 4L,180,1750.0,0.0,0.0,0.0,1750.0,315000.0,0.0,Opening Stock,0.0,0.0,315000.0,0.0,0.0,0.0,180,315000.0,,MN,0.0
TXN-00006,2024-12-31,PURCHASE,GRN-2412-OPEN-EMULSI,Thika Road Hardware & Agrovet Ltd,Juja,Supplier,,,Opening Stock Balance,Paints,Emulsion Paint 4L,200,1400.0,0.0,0.0,0.0,1400.0,280000.0,0.0,Opening Stock,0.0,0.0,280000.0,0.0,0.0,0.0,200,280000.0,,JB,0.0
TXN-00007,2024-12-31,PURCHASE,GRN-2412-OPEN-PAINT,Thika Road Hardware & Agrovet Ltd,Thika Town,Supplier,,,Opening Stock Balance,Paints,Paint Brush 4in,350,95.0,0.0,0.0,0.0,95.0,33250.0,0.0,Opening Stock,0.0,0.0,33250.0,0.0,0.0,0.0,350,33250.0,,PW,0.0
TXN-00008,2024-12-31,PURCHASE,GRN-2412-OPEN-WOODV,Thika Road Hardware & Agrovet Ltd,Juja,Supplier,,,Opening Stock Balance,Paints,Wood Varnish 1L,150,380.0,0.0,0.0,0.0,380.0,57000.0,0.0,Opening Stock,0.0,0.0,57000.0,0.0,0.0,0.0,150,57000.0,,TK,0.0
TXN-00009,2024-12-31,PURCHASE,GRN-2412-OPEN-PVCPI,Thika Road Hardware & Agrovet Ltd,Thika Town,Supplier,,,Opening Stock Balance,Plumbing,PVC Pipe 20mm 3m,300,210.0,0.0,0.0,0.0,210.0,63000.0,0.0,Opening Stock,0.0,0.0,63000.0,0.0,0.0,0.0,300,63000.0,,TK,0.0
TXN-00010,2024-12-31,PURCHASE,GRN-2412-OPEN-PVCTE,Thika Road Hardware & Agrovet Ltd,Juja,Supplier,,,Opening Stock Balance,Plumbing,PVC Tee 20mm,500,45.0,0.0,0.0,0.0,45.0,22500.0,0.0,Opening Stock,0.0,0.0,22500.0,0.0,0.0,0.0,500,22500.0,,PW,0.0
TXN-00011,2024-12-31,PURCHASE,GRN-2412-OPEN-GATEV,Thika Road Hardware & Agrovet Ltd,Juja,Supplier,,,Opening Stock Balance,Plumbing,Gate Valve 1in,150,320.0,0.0,0.0,0.0,320.0,48000.0,0.0,Opening Stock,0.0,0.0,48000.0,0.0,0.0,0.0,150,48000.0,,PW,0.0
TXN-00012,2024-12-31,PURCHASE,GRN-2412-OPEN-WATER,Thika Road Hardware & Agrovet Ltd,Juja,Supplier,,,Opening Stock Balance,Plumbing,Water Tank 1000L,25,8200.0,0.0,0.0,0.0,8200.0,205000.0,0.0,Opening Stock,0.0,0.0,205000.0,0.0,0.0,0.0,25,205000.0,,SK,0.0
TXN-00013,2024-12-31,PURCHASE,GRN-2412-OPEN-LEDBU,Thika Road Hardware & Agrovet Ltd,Thika Town,Supplier,,,Opening Stock Balance,Electrical,LED Bulb 12W,600,150.0,0.0,0.0,0.0,150.0,90000.0,0.0,Opening Stock,0.0,0.0,90000.0,0.0,0.0,0.0,600,90000.0,,JB,0.0
TXN-00014,2024-12-31,PURCHASE,GRN-2412-OPEN-SOCKET,Thika Road Hardware & Agrovet Ltd,Thika Town,Supplier,,,Opening Stock Balance,Electrical,Socket Outlet,400,180.0,0.0,0.0,0.0,180.0,72000.0,0.0,Opening Stock,0.0,0.0,72000.0,0.0,0.0,0.0,400,72000.0,,TK,0.0
TXN-00015,2024-12-31,PURCHASE,GRN-2412-OPEN-ELECTR,Thika Road Hardware & Agrovet Ltd,Thika Town,Supplier,,,Opening Stock Balance,Electrical,Electrical Cable 2.5mm (roll),60,3200.0,0.0,0.0,0.0,3200.0,192000.0,0.0,Opening Stock,0.0,0.0,192000.0,0.0,0.0,0.0,60,192000.0,,JB,0.0
TXN-00016,2024-12-31,PURCHASE,GRN-2412-OPEN-CIRCUI,Thika Road Hardware & Agrovet Ltd,Juja,Supplier,,,Opening Stock Balance,Electrical,Circuit Breaker 20A,120,420.0,0.0,0.0,0.0,420.0,50400.0,0.0,Opening Stock,0.0,0.0,50400.0,0.0,0.0,0.0,120,50400.0,,RA,0.0
TXN-00017,2024-12-31,PURCHASE,GRN-2412-OPEN-DAPFE,Thika Road Hardware & Agrovet Ltd,Thika Town,Supplier,,,Opening Stock Balance,Agro Inputs,DAP Fertilizer 50kg,150,3400.0,0.0,0.0,0.0,3400.0,510000.0,0.0,Opening Stock,0.0,0.0,510000.0,0.0,0.0,0.0,150,510000.0,,SK,0.0
TXN-00018,2024-12-31,PURCHASE,GRN-2412-OPEN-CANFE,Thika Road Hardware & Agrovet Ltd,Juja,Supplier,,,Opening Stock Balance,Agro Inputs,CAN Fertilizer 50kg,150,3100.0,0.0,0.0,0.0,3100.0,465000.0,0.0,Opening Stock,0.0,0.0,465000.0,0.0,0.0,0.0,150,465000.0,,RA,0.0
TXN-00019,2024-12-31,PURCHASE,GRN-2412-OPEN-MAIZE,Thika Road Hardware & Agrovet Ltd,Juja,Supplier,,,Opening Stock Balance,Agro Inputs,Maize Seed 2kg Pack,220,480.0,0.0,0.0,0.0,480.0,105600.0,0.0,Opening Stock,0.0,0.0,105600.0,0.0,0.0,0.0,220,105600.0,,PW,0.0
TXN-00020,2024-12-31,PURCHASE,GRN-2412-OPEN-PESTIC,Thika Road Hardware & Agrovet Ltd,Juja,Supplier,,,Opening Stock Balance,Agro Inputs,Pesticide 1L,180,620.0,0.0,0.0,0.0,620.0,111600.0,0.0,Opening Stock,0.0,0.0,111600.0,0.0,0.0,0.0,180,111600.0,,PW,0.0
TXN-00021,2024-12-31,PURCHASE,GRN-2412-OPEN-CLAWH,Thika Road Hardware & Agrovet Ltd,Thika Town,Supplier,,,Opening Stock Balance,Hardware Tools,Claw Hammer,140,380.0,0.0,0.0,0.0,380.0,53200.0,0.0,Opening Stock,0.0,0.0,53200.0,0.0,0.0,0.0,140,53200.0,,RA,0.0
TXN-00022,2024-12-31,PURCHASE,GRN-2412-OPEN-WHEELB,Thika Road Hardware & Agrovet Ltd,Thika Town,Supplier,,,Opening Stock Balance,Hardware Tools,Wheelbarrow,45,4200.0,0.0,0.0,0.0,4200.0,189000.0,0.0,Opening Stock,0.0,0.0,189000.0,0.0,0.0,0.0,45,189000.0,,RA,0.0
TXN-00023,2024-12-31,PURCHASE,GRN-2412-OPEN-SPADE,Thika Road Hardware & Agrovet Ltd,Thika Town,Supplier,,,Opening Stock Balance,Hardware Tools,Spade,160,520.0,0.0,0.0,0.0,520.0,83200.0,0.0,Opening Stock,0.0,0.0,83200.0,0.0,0.0,0.0,160,83200.0,,MN,0.0
TXN-00024,2024-12-31,PURCHASE,GRN-2412-OPEN-MEASUR,Thika Road Hardware & Agrovet Ltd,Thika Town,Supplier,,,Opening Stock Balance,Hardware Tools,Measuring Tape 5m,200,210.0,0.0,0.0,0.0,210.0,42000.0,0.0,Opening Stock,0.0,0.0,42000.0,0.0,0.0,0.0,200,42000.0,,TK,0.0
TXN-00025,2025-01-01,SALE,INV-2501-0002,Thika Road Hardware & Agrovet Ltd,Juja,M-Pesa Till,Retail,CUS-1127,,Plumbing,PVC Tee 20mm,5,92.33,0.0,461.65,461.65,46.2,231.0,230.65,,0.0,461.65,0.0,461.65,0.0,0.0,-5,-231.0,,PW,0.0
TXN-00026,2025-01-02,SALE,INV-2501-0004,Thika Road Hardware & Agrovet Ltd,Thika Town,Phone Order,Farmer,CUS-1086,,Paints,Gloss Paint 4L,3,2795.72,0.0,8387.16,8387.16,1774.9,5324.7,3062.46,,0.0,8387.16,0.0,8387.16,0.0,0.0,-3,-5324.7,,PW,0.0
TXN-00027,2025-01-02,EXPENSE,EXP-2501-2484,Thika Road Hardware & Agrovet Ltd,Juja,Back Office,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Repairs,4303.11,0.0,4303.11,0.0,0.0,0.0,0,0.0,M-PESA,SK,0.0
TXN-00028,2025-01-03,SALE,INV-2501-0006,Thika Road Hardware & Agrovet Ltd,Thika Town,M-Pesa Till,Wholesale,CUS-1021,,Building Materials,Iron Sheet 3m Gauge30,5,1224.22,0.02,6121.1,5998.68,775.25,3876.25,2122.43,,0.0,1756.91,0.0,1756.91,4241.77,0.0,-5,-3876.25,,PW,0.0
TXN-00029,2025-01-04,SALE,INV-2501-0008,Thika Road Hardware & Agrovet Ltd,Juja,Counter,Wholesale,CUS-1009,,Building Materials,River Sand (ton),4,1852.03,0.03,7408.12,7185.88,1215.15,4860.6,2325.28,,0.0,7185.88,0.0,7185.88,0.0,0.0,-4,-4860.6,,MN,0.0
TXN-00030,2025-01-04,SALE,INV-2501-0010,Thika Road Hardware & Agrovet Ltd,Juja,Online Order,Retail,CUS-1168,,Paints,Emulsion Paint 4L,3,2485.87,0.02,7457.61,7308.46,1440.92,4322.76,2985.7,,0.0,7308.46,0.0,7308.46,0.0,0.0,-3,-4322.76,,SK,0.0
TXN-00031,2025-01-04,SALE,INV-2501-0012,Thika Road Hardware & Agrovet Ltd,Juja,Online Order,Farmer,CUS-1030,,Building Materials,Iron Sheet 3m Gauge30,10,1156.03,0.0,11560.3,11560.3,768.18,7681.8,3878.5,,0.0,11560.3,0.0,11560.3,0.0,0.0,-10,-7681.8,,RA,0.0
TXN-00032,2025-01-04,SALE,INV-2501-0014,Thika Road Hardware & Agrovet Ltd,Thika Town,M-Pesa Till,Retail,CUS-1036,,Plumbing,Gate Valve 1in,5,556.73,0.0,2783.65,2783.65,327.23,1636.15,1147.5,,0.0,2783.65,0.0,2783.65,0.0,0.0,-5,-1636.15,,TK,0.0
TXN-00033,2025-01-05,SALE,INV-2501-0016,Thika Road Hardware & Agrovet Ltd,Thika Town,Counter,Wholesale,CUS-1081,,Paints,Paint Brush 4in,7,207.04,0.01,1449.28,1434.79,96.77,677.39,757.4,,0.0,962.41,0.0,962.41,472.38,0.0,-7,-677.39,,MN,0.0
TXN-00034,2025-01-05,SALE,INV-2501-0018,Thika Road Hardware & Agrovet Ltd,Thika Town,M-Pesa Till,Retail,CUS-1058,,Building Materials,Iron Sheet 3m Gauge30,10,1238.34,0.0,12383.4,12383.4,780.53,7805.3,4578.1,,0.0,12383.4,0.0,12383.4,0.0,0.0,-10,-7805.3,,MN,0.0
